animeTitle	Kunoichi Bakumatsu Kitan
animeType	OVA
animeNumEpisode	2
releaseDate	2003-12-25 00:00:00
endDate	2004-05-25 00:00:00
animeNumMembers	
animeScore	5.9
animeUsers	683
animeRank	
animePopularity	8888
animeDescription	"The winds of revolution howl through Kyoto as the Tokugawa era comes to a violent close.

Will Kaede, Kikyoo, and Ayame follow the ninja code of honor and face their vicious destiny, or escape to another world? Will their love for each other and the men they are destined to betray effect their fate? But now, a secret command forces them to risk their lives. Their passions will ignite as our story begins...

(Source: Adultsourcemedia.com)"
animeRelated	[]
animeCharacters	['Kikyou']
animeVoices	[]
animeStaff	[]
