animeTitle	Majuu Sensen
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	209
animeRank	
animePopularity	10676
animeDescription	"13 scientists seek to tap genetic powers by creating a hybrid of man and beast. Years later, 13 of their children are embroiled in a battle to undo their handiwork, while Shinichi, the son of one of the scientists, teams up with Christian super-beings to save the world.

(Source: Animevice)"
animeRelated	['Majuu Sensen', 'Majuu Sensen: The Apocalypse']
animeCharacters	['Stinger', 'Cohen']
animeVoices	[]
animeStaff	[['Ooga, Shunji', 'Director'], ['Ishikawa, Ken', 'Original Creator'], ['Satou, Keiichi', 'Animation Director'], ['Yamane, Masahiro', 'Key Animation']]
