animeTitle	Ikedaya Soudou
animeType	Movie
animeNumEpisode	1
releaseDate	1961-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.16
animeUsers	116
animeRank	
animePopularity	14720
animeDescription	Independent film by Yanagihara Ryouhei, member of the Animation Sannin no Kai pioneer group of independent animation. It tells the story of the Ikedaya raid by the Shinsengumi from the point of view of the neighbors of the Ikedaya.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
