animeTitle	Zoku Gosenzo San'e
animeType	OVA
animeNumEpisode	4
releaseDate	2000-10-25 00:00:00
endDate	2001-04-25 00:00:00
animeNumMembers	1570
animeScore	5.5
animeUsers	515
animeRank	
animePopularity	10076
animeDescription	A direct sequel, continuing about nine months after the first season ends. 
animeRelated	"[""Gosenzo San'e"", 'Anata dake Konbanwa']"
animeCharacters	['Collins, Jennifer', 'Lambert, Beatrice', 'Sakurako, Rokuhira']
animeVoices	[]
animeStaff	[['Masaki, Shinichi', 'Director'], ['Kajishima, Masaki', 'Creator']]
