animeTitle	Bari Bari Densetsu
animeType	OVA
animeNumEpisode	2
releaseDate	1986-05-10 00:00:00
endDate	1986-12-16 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	201
animeRank	
animePopularity	10887
animeDescription	The main character, Gun, rides a customized Honda CB750F cafe racer and eventually evolves into a pro road racer.
animeRelated	['Baribari Densetsu', 'Bari Bari Densetsu (1987)']
animeCharacters	['Hijiri, Hideyoshi', 'Koma, Gun', 'Okita, Hiro', 'Itou, Ai', 'Hijiri, Tomoyo', 'Satoru', 'Ichinose, Miyuki', 'Ichikawa']
animeVoices	['Nakao, Ryusei', 'Tanaka, Hideyuki', 'Futamata, Issei', 'Oginome, Youko', 'Toda, Keiko']
animeStaff	[['Kamimura, Osamu', 'Director'], ['Oginome, Youko', 'Theme Song Performance'], ['Funayama, Motoki', 'Theme Song Arrangement'], ['Shigeno, Shuuichi', 'Original Creator']]
