animeTitle	Detonator Orgun
animeType	OVA
animeNumEpisode	3
releaseDate	1991-08-25 00:00:00
endDate	1992-04-25 00:00:00
animeNumMembers	
animeScore	6.42
animeUsers	2214
animeRank	
animePopularity	6823
animeDescription	"Fleeing from his own race, Orgun—an alien being with superhuman abilities and unearthly weapons—travels to Earth to find an answer to his origin. There, he bonds with a young man named Tomoru to defend Earth against the Evoluders, who seek nothing but destruction of other civilizations.

(Source: ANN)"
animeRelated	[]
animeCharacters	"['Orgun', 'Shindo, Tomoru', ""Tomoru's Brother"", 'Commander Zoa', 'Virgil', 'Wedge', 'Bannings', 'I-Zack', 'Knock', 'Kanzaki, Michi']"
animeVoices	['Yamadera, Kouichi', 'Wakamoto, Norio', 'Utsumi, Kenji', 'Ebara, Masashi', 'Yanada, Kiyoyuki', 'Ueda, Toshiya', 'Tanaka, Nobuo', 'Seki, Toshihiko', 'Touma, Yumi']
animeStaff	[['Oobari, Masami', 'Director, Storyboard, Key Animation, Animation Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hirasawa, Susumu', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement, Theme Song Performance, Music'], ['Baroli, Gilberto', 'ADR Director']]
