animeTitle	b'Ingress the Animation'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	6456
animeRank	
animePopularity	
animeDescription	"b'A project was launched where scientists discovered a mysterious substance that can interface directly with the human brain. This substance, called ""Exotic Matter (XM),"" has existed since ancient times, influencing human minds and the progress of humanity. In the wake of this discovery, a battle of powerful nations and corporate giants has been unleashed. Organizations across the globe have embarked on a secret race to exploit XM. It represents both an opportunity and a threat to humanity. Two Factions seeks to control the XM. The Enlightened view XM\'s power as a gift that enhances human experience and discovery. The Resistance sees XM as a hostile takeover of the human mind, choosing technology as humanity\'s best path forward. XM, and the mystery behind it lie at the center of this battle for the fate of humanity.\n\n2018\xe2\x80\x94Now, a new struggle is about to unfold in Tokyo and across the globe. Dangerous and powerful forces seeking to exploit the potential of XM will collide. This groundbreaking project will mark the beginning of an epic augmented-reality experience combining the three elements of animation, location-based gaming, and the real world.\n\n(Source: MAL News)'"
animeRelated	[]
animeCharacters	[b'Coppola, Sarah', b'Norman, Jack', b'Midorikawa, Makoto', b'ADA', b'Brandt, Christopher', b'Johnson, Hank', b'Kunikida, Jion', b'Liu, Tianhua']
animeVoices	[b'\nUeda, Reina\nJapanese\n', b'\nKiyama, Shigeo\nJapanese\n', b'\nNakajima, Yoshiki\nJapanese\n', b'\nOgata, Megumi\nJapanese\n', b'\nShingaki, Tarusuke\nJapanese\n', b'\nSasaki, Hiroo\nJapanese\n', b'\nTone, Kentarou\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshii, Tomohiko\n\nProducer, Sound Director\n\n', b'\nSakuragi, Yuuhei\n\nDirector\n\n', b'\nAkasaka, Sou\n\nScript\n\n', b'\nTsukishima, Tora\n\nScript\n\n']
