animeTitle	Yoshinaga-san'chi no Gargoyle Specials
animeType	Special
animeNumEpisode	5
releaseDate	2006-07-28 00:00:00
endDate	2006-11-24 00:00:00
animeNumMembers	1192
animeScore	6.3
animeUsers	480
animeRank	7201
animePopularity	10698
animeDescription	A magic book places Kazumi in a Wonderland-like world.
animeRelated	['Yoshinaga-sanchi no Gargoyle']
animeCharacters	['Yoshinaga, Futaba', 'Yoshinaga, Kazumi', 'Gargoyle', 'Osiris', 'Hamilton, Lily', 'Onodera, Mimori', 'Katagiri, Momo', 'Hisham', 'Yoshinaga, Mama', 'Takahara, Iyo']
animeVoices	['Saitou, Chiwa', 'Miyata, Kouki', 'Wakamoto, Norio', 'Asano, Ruri']
animeStaff	[['Himukai, Yuuji', 'Original Character Design'], ['Taguchi, Sennendou', 'Original Creator']]
