animeTitle	Tao Hua Yuan Ji
animeType	Movie
animeNumEpisode	1
releaseDate	2006-01-01 00:00:00
endDate	
animeNumMembers	356
animeScore	6.03
animeUsers	120
animeRank	8511
animePopularity	13956
animeDescription	"The 3D CG short film with its unique visual style, which tranquilly depicts Peach Blossom Valley (known to the western culture as Shangri-La), the earthly paradise, in Dong Jin people's mind and their desire to return to happy and harmonic life.

(Source: Official site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
