animeTitle	b'Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi', b'Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
