animeTitle	Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!
animeType	ONA
animeNumEpisode	1
releaseDate	2010-03-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	13448
animeRank	
animePopularity	3458
animeDescription	An internet-only stand-alone special episode of Katekyo Hitman Reborn! on the Shounen-Jump website, where the main characters go to various tourist spots in Japan. It will be made available on DVD in July 2010, and extra scenes will be included.
animeRelated	['Katekyo Hitman Reborn!']
animeCharacters	['Sawada, Tsunayoshi', 'Hibari, Kyouya', 'Gokudera, Hayato', 'Yamamoto, Takeshi', 'Reborn', 'Lambo', 'Sasagawa, Ryouhei', 'Belphegor', 'Squalo, Superbi', 'Dokuro, Chrome']
animeVoices	['Kokubun, Yukari', 'Kondou, Takashi', 'Ichinose, Hidekazu', 'Inoue, Suguru', 'Neeko', 'Takeuchi, Junko', 'Kiuchi, Hidenobu', 'Fujiwara, Yuuki', 'Takahashi, Hiroki', 'Akesaka, Satomi']
animeStaff	[['Imaizumi, Kenichi', 'Director'], ['Tanaka, Masayoshi', 'Character Design']]
