animeTitle	Netrun-mon the Movie
animeType	OVA
animeNumEpisode	1
releaseDate	2004-11-24 00:00:00
endDate	
animeNumMembers	1688
animeScore	5.27
animeUsers	764
animeRank	10952
animePopularity	9885
animeDescription	"""Netrun-mon THE MOVIE #1"" is an original animation DVD conceived by Netrunner Magazine to celebrate their 5th birthday. This 30-min OVA is directed by Poyoyon Rock (of ""Popotan"" fame) and stars cute Netrunner characters Nin'i-tan and friends. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Chiyu 12 year old', 'Biscuit-tan', 'Nini-tan', 'Unyuu']
animeVoices	['Momoi, Haruko', 'Hirai, Riko', 'Maeda, Noboru']
animeStaff	[['Iida, Satoki', 'Sound Director'], ['Watanabe, Akio', 'Character Design'], ['Revo', 'Music'], ['Hariganeya, Hideo', 'Key Animation, Animation Director']]
