animeTitle	Okusama wa Michael
animeType	OVA
animeNumEpisode	2
releaseDate	2012-04-20 00:00:00
endDate	2014-06-06 00:00:00
animeNumMembers	3911
animeScore	6.14
animeUsers	1297
animeRank	
animePopularity	7699
animeDescription	"Mika Amano, a newly married woman, discovers an alien who crashed on earth. This alien named Furuu can take the shape of any article of clothing. Her husband, Dr. Shinichi Amano, works at a small clinic and discovers an intresting side effect to a new experimental drug.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Amano, Mika', 'Mishima, Saeko', 'Amano, Shinichi', 'Furuu', 'Yume', 'Sayo, Komori', 'Negawa, Ruri']
animeVoices	['Himuro, Yuri']
animeStaff	[['Yoshiten', 'Animation Director']]
