animeTitle	Oppai Gakuen Marching Band-bu!
animeType	OVA
animeNumEpisode	1
releaseDate	2014-10-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	2630
animeRank	
animePopularity	6150
animeDescription	"An average boy receives one day a special camera from a mysterious, massively-endowed girl in a bunny suit. This camera has the ability to make any girl photographed with it unbearably horny, deepening their erotic agony with each picture you take. And when the sexual tension finally boils over, the only way to quench these uniformed vixens' thirst is by having them service you with their enormous breasts!

(Source: J-List)"
animeRelated	[]
animeCharacters	['Shindou, Shirley Bronte', 'Ookawara, Yuuji', 'Ootori, Minamo', 'Kyuuhouji, Natsumi']
animeVoices	['Minase, Saki', 'Kitayama, Kyousuke', 'Takada, Hatsumi', 'Matsudaira, Minaho']
animeStaff	[['Raika, Ken', 'Director'], ['Doshida, Tomoaki', 'Storyboard'], ['Suzuki, Takato', 'Character Design']]
