animeTitle	b'Idol\xe2\x98\x86Sister'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	6660
animeRank	
animePopularity	
animeDescription	"b'Former members of the idol group IKB31, Ayaka Takano, Maki Kamii and Maina Ooizumi, form a new group called Platinum Kiss. One of the biggest reasons for their success onstage would be their manager, Ayaka\'s older brother, despite his perverted nature. \n\nOn the day before their next concert, he informs the girls that he might not be able to attend, causing them to feel very anxious. In the girls\' desperate effort to find him, he turns out to be peeping at their every action. With one hour left before their performance, he helps them in ""calming their nerves\xe2\x80\x9d.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Idol\xe2\x98\x86Sister']
animeCharacters	[b'Kamii, Maki', b'Takano, Ayaka', b'Ooizumi, Maina', b'Takano, Brother']
animeVoices	[b'\nKobayashi, Maki\nJapanese\n', b'\nFukada, Ai\nJapanese\n', b'\nTanezaki, Atsumi\nJapanese\n', b'\nAoi, Kaito\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiura, Saburou\n\nDirector\n\n', b'\nOhtomo, Takuji\n\nOriginal Creator\n\n', b'\nHong, Seok-pyo\n\nAnimation Director, Character Design\n\n']
