animeTitle	b'Ladies versus Butlers! Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	15112
animeRank	
animePopularity	
animeDescription	b'DVD/BD specials featuring two female cast members of Ladies versus Butlers! at a time engaging in Lady Battles, where they try to outdo their opponent in eroticism and stripping.'
animeRelated	[b'Ladies versus Butlers!']
animeCharacters	[b'Flameheart, Selnia Iori', b'Saikyou, Tomomi', b'Daichi, Kaoru', b'Shikikagami, Sanae', b'Khadim, Ayse', b'Hedyeh', b'Tenjouji, Kaede', b'Ousawa, Mimina', b'Shikikagami, Saori', b'Mikan']
animeVoices	[b'\nNakahara, Mai\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nGotou, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakami, Akio\n\nCharacter Design\n\n']
