animeTitle	Mori no Kokoro-Koro
animeType	Special
animeNumEpisode	1
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17096
animeDescription	An animated commercial for Aska Corporation Inc., an additive-free cosmetics and health food company. The commercial features their Kokoro-Koro mascot, a forest spirit, embodying the innocent heart of mankind.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
