animeTitle	Osomatsu-san 2nd Season
animeType	TV
animeNumEpisode	25
releaseDate	2017-10-03 00:00:00
endDate	2018-03-27 00:00:00
animeNumMembers	48167
animeScore	7.6
animeUsers	17629
animeRank	1314
animePopularity	2549
animeDescription	Second season of Osomatsu-san.
animeRelated	['Osomatsu-san', 'Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2', 'Matsumotokiyoshi x Osomatsu-san', 'Osomatsu-san x Mameshiba', 'Osomatsu-san Short Film Series 2nd Season', 'dMatsu-san', 'Osomatsu-san Movie', 'Osomatsu-san: Hajimaru Hajimari', 'Osomatsu-san 3rd Season']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Iyami', 'Yowai, Totoko', 'Chibita', 'Dayon']
animeVoices	['Fukuyama, Jun', 'Nakamura, Yuuichi', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Kamiya, Hiroshi', 'Irino, Miyu', 'Suzumura, Kenichi', 'Endou, Aya', 'Kokuryu, Sachi', 'Tobita, Nobuo']
animeStaff	[['Fujita, Youichi', 'Director'], ['Inokawa, Shintarou', 'Episode Director'], ['Akamatsu, Yasuhiro', 'Episode Director'], ['Matsubara, Shuu', 'Script, Series Composition']]
