animeTitle	Sabage-bu! Specials
animeType	Special
animeNumEpisode	6
releaseDate	2014-09-24 00:00:00
endDate	2015-02-20 00:00:00
animeNumMembers	17173
animeScore	7.28
animeUsers	7459
animeRank	2514
animePopularity	4281
animeDescription	Short OVA bundled with the volumes 1 to 6 of the Blu-ray releases of Sabagebu!
animeRelated	['Sabage-bu!']
animeCharacters	['Sonokawa, Momoka', 'Kasugano, Urara', 'Ootori, Miou', 'Goutokuji, Kayo', 'Kyoudou, Maya', 'Kamo', 'Tenchou', 'Sakura, Ena']
animeVoices	['Ohashi, Ayaka', 'Ookubo, Rumi', 'Uchiyama, Yumi', 'Touyama, Nao']
animeStaff	[]
