animeTitle	The Epic Of ZektBach
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	1961
animeRank	
animePopularity	7775
animeDescription	"The story begins when the kingdom of Noigllado suddenly invades the small country of Azuelgatt and brings it to the brink of destruction. General Adnowell leads Noigllado's troops against Azuelgatt's final, remaining line of defense: the fortress Doroah, led by a skilled female warrior named Shamshir.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Zamouk, Shamshir Zamouk']
animeVoices	[]
animeStaff	[['Nishikubo, Mizuho', 'Director'], ['Maeda, Minoru', 'Art Director'], ['Shimura, Takeshi', 'Director of Photography'], ['Furukawa, Hideki', 'Character Design']]
