animeTitle	Choujin Densetsu Urotsukidouji Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	2449
animeRank	
animePopularity	6807
animeDescription	Summary of Choujin Densetsu Urotsukidouji.
animeRelated	['Urotsukidouji', 'Choujin Densetsu Urotsukidouji']
animeCharacters	"['Amanojaku', 'Amano, Megumi', 'Nagumo, Tatsuo', 'Kuroko', 'Itou, Akemi', 'Niki, Yuichi', ""Yuichi's Dad"", 'Suikakujyu', 'Ozaki, Yoriichi', 'Tsugane, Shuji']"
animeVoices	['Nishimura, Tomohiro', 'Okamoto, Maya', 'Ichiryuusai, Harumi', 'Yamadera, Kouichi', 'Wakamoto, Norio']
animeStaff	[['Nishizaki, Yoshinobu', 'Producer'], ['Yamaki, Yasuhito', 'Producer'], ['Takayama, Hideki', 'Director'], ['Aikawa, Shou', 'Script']]
