animeTitle	"b""Dog Days''"""
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	29716
animeRank	
animePopularity	
animeDescription	"b""Cinque Izumi, Nanami Takatsuki, and Rebecca Anderson must once again embark on a journey to the continent of Flonyard and participate in the friendly war games of the three allied nations: Biscotti Republic, Galette, and Pastilage. Cinque is Biscotti\xe2\x80\x99s hero, who also happens to be the cousin of Galette\xe2\x80\x99s hero Nanami. Rebecca is Pastillage\xe2\x80\x99s hero and a dear friend of Cinque.\n\nDog Days'' begins in the human world. Rebecca prepares her things for her journey back to Pastilage from Japan. Meanwhile, Cinque and Nanami set out to travel to Biscotti and Galette, respectively, all the way from England, when suddenly, a freakish streak of bad luck\xe2\x80\x94in the form of lightning, of course\xe2\x80\x94sends them off course. They soon find themselves in the great Dragon Forest, protected by a Dragon Priestess named Sharu. The Dragon Priestess informs them that demons threaten to invade the forest, as well as the whole continent of Flonyard!\n\nIt looks like a real war is about to begin in Dog Days''. Can these three heroes save the whole continent from these evil beings?"""
animeRelated	"[b""Dog Days'"", b'Dog Days Recap', b""Dog Days'': Limone Resort Tenbou Onsen!"", b""Dog Days'': Gravure Talk"", b""Dog Days'' Specials""]"
animeCharacters	[b'Firianno Biscotti, Millhiore', b'Galette des Rois, Leonmitchelli', b'Izumi, Cinque', b'Anderson, Rebecca', b'Eschenbach Pastillage, Couvert', b'Takatsuki, Nanami', b'Panettone, Yukikaze', b'Martinozzi, \xc3\x89clair', b'Elmar, Ricotta', b'd\xe2\x80\x99Arquien, Brioche']
animeVoices	[b'\nHorie, Yui\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nHikasa, Youko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishimura, Junji\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nYokota, Chikako\n\nSound Director\n\n', b'\nIino, Makoto\n\nEpisode Director, Storyboard, Chief Animation Director, Key Animation\n\n']
