animeTitle	Red Shoes
animeType	Movie
animeNumEpisode	1
releaseDate	2019-07-25 00:00:00
endDate	
animeNumMembers	376
animeScore	6.95
animeUsers	170
animeRank	3965
animePopularity	13905
animeDescription	Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist.
animeRelated	[]
animeCharacters	['Merlin']
animeVoices	[]
animeStaff	[]
