animeTitle	One Punch Man 2nd Season Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	37821
animeRank	
animePopularity	1698
animeDescription	Short anime specials included in the One Punch Man 2nd Season BD & DVD.
animeRelated	['One Punch Man 2nd Season']
animeCharacters	"['Saitama', 'Garou', 'Genos', 'Mumen Rider', 'Fubuki', ""Speed-o'-Sound Sonic"", 'King', 'Metal Bat', 'Puripuri Prisoner', 'Bang']"
animeVoices	['Furukawa, Makoto', 'Midorikawa, Hikaru', 'Ishikawa, Kaito', 'Nakamura, Yuuichi', 'Hayami, Saori', 'Kaji, Yuki', 'Yasumoto, Hiroki', 'Hatano, Wataru', 'Onosaka, Masaya', 'Yamaji, Kazuhiro']
animeStaff	[['Furukawa, Makoto', 'Theme Song Performance'], ['ONE', 'Original Creator'], ['Murata, Yusuke', 'Original Character Design'], ['Anne, Mélanie', 'ADR Director']]
