animeTitle	Ankoku Shindenshou Takegami
animeType	OVA
animeNumEpisode	3
releaseDate	1990-03-23 00:00:00
endDate	1992-01-24 00:00:00
animeNumMembers	
animeScore	5.56
animeUsers	610
animeRank	
animePopularity	9459
animeDescription	A trio of diabolical dragons stirs from eons of slumber deep within the earth. Charging to the surface, they launch a bloody rampage against humanity, feasting on the weak and gaining strength from their hapless victims' souls. It will take the power of ancient god Takegami, the Guardian of Darkness, to vanquish the evil serpent forces. But alas, the mortal body Takegami inhabits belongs to a host reluctant to fight.
animeRelated	[]
animeCharacters	"['Amano, Terumi', 'Kouichi', 'Sakagami', 'Bouan', 'Seijirou', 'Office Lady', 'Soujou', ""Kouchi's Father"", 'Mother', 'Matsuura, Sayoko']"
animeVoices	['Hidaka, Noriko', 'Inoue, Kazuhiko', 'Morikawa, Toshiyuki', 'Suzuki, Katsumi', 'Matsumoto, Yasunori', 'Touma, Yumi', 'Sakaguchi, Yoshisada', 'Fujimoto, Yuzuru', 'Takagi, Sanae', 'Sakakibara, Yoshiko']
animeStaff	[['Yamasaki, Osamu', 'Director, Script'], ['Taniguchi, Gorou', 'Production Manager'], ['Oobari, Masami', 'Animation Director, Character Design, Key Animation'], ['Nakazawa, Kazuto', 'Key Animation']]
