animeTitle	b'Kakuchou Shoujo-kei Trinary'
animeType	b'ONA'
animeNumEpisode	34
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	937
animeRank	
animePopularity	
animeDescription	b'The story centers on five girls who fight with a special mission in the plane of existence on the other side of the screen. The setting of the story is the metropolitan area of the Japanese capital, after it was beset by a certain abnormality.\n\n(Source: ANN)'
animeRelated	[b'Kakuchou Shoujo-kei Trinary: Ex.MV']
animeCharacters	[b'Lotary\xc5\x84ska, Gabriela', b'Koigasaki, Miyabi', b'Uzuki, Kagura', b'Ouse, Tsubame', b'Kunimasa, Ayami', b'Amori, Hikaru', b'Koganei, Masato', b'Sumeragi, Chiharu', b'Terpsichor\xc4\x81', b'Shinonome, Mahoro']
animeVoices	[b'\nYagi, Yuki\nJapanese\n', b'\nHagihara, Ami\nJapanese\n', b'\nHirayama, Emi\nJapanese\n', b'\nTakeda, Mariko\nJapanese\n', b'\nNakae, Mitsuki\nJapanese\n', b'\nAbe, Atsushi\nJapanese\n', b'\nArai, Ryouhei\nJapanese\n', b'\nIwasaki, Haruna\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nAsano, Masumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawasaki, Itsurou\n\nDirector\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nYagi, Yuki\n\nTheme Song Performance\n\n', b'\nHirayama, Emi\n\nTheme Song Performance\n\n']
