animeTitle	Momo Kyun Sword
animeType	TV
animeNumEpisode	12
releaseDate	2014-07-09 00:00:00
endDate	2014-09-24 00:00:00
animeNumMembers	
animeScore	5.58
animeUsers	8087
animeRank	
animePopularity	3251
animeDescription	"Momoko is a beautiful young sword fighter who was born inside a peach (momo in Japanese). She lives with her constant companions—the dog god Inugami, the monkey god Sarugami, and the pheasant god Kijigami—in a peaceful paradise. However, a demon army led by devil king invades the paradise and steals the precious treasure that protects Momoko's land. To retrieve the treasure and save the people, Momoko embarks on a great adventure with her three companions.

(Source: ANN)"
animeRelated	['Momo Kyun Sword: Hoshi to Ougon no Tachi']
animeCharacters	['Onihime', 'Momoko', 'Kushinada', 'Maron', 'Enki', 'Toutetsu', 'Abe no, Seimei', 'Jakiou', 'Kohaku', 'Shiratama']
animeVoices	['Tsuda, Minami', 'Taketatsu, Ayana', 'Shimoda, Asami', 'Ookubo, Rumi', 'Takahashi, Chiaki', 'Katou, Emiri', 'Hino, Satoshi', 'Ginga, Banjou']
animeStaff	[['Nozaki, Keiichi', 'Producer'], ['Yanagi, Shinsuke', 'Director'], ['Sugawara, Teruaki', 'Sound Director'], ['Katou, Hiroto', 'Episode Director, Storyboard, Key Animation, Animation Director']]
