animeTitle	Amigo Tomodachi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15875
animeDescription	An educational film about how difficult it is learning the culture and customs of a new land. And how bullying foreigners or even Japanese people who have come back home after an extended stay in a foreign country after they picked up the customs, is the manifestation of a weak consciousness.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
