animeTitle	Nekogami Yaoyorozu
animeType	TV
animeNumEpisode	12
releaseDate	2011-07-09 00:00:00
endDate	2011-09-24 00:00:00
animeNumMembers	18650
animeScore	6.63
animeUsers	5919
animeRank	5417
animePopularity	4124
animeDescription	"Koyama Yuzu is running an antique shop. Mayu, a cat god (nekogami), is living off Yuzu and leads an idle life playing games. Lots of other gods visit Mayu and enjoy merrymaking.

(Source: ANN)"
animeRelated	['Nekogami Yaoyorozu', 'Nekogami Yaoyorozu: Ohanami Ghostbusters', 'Nekogami Yaoyorozu Specials']
animeCharacters	['Mayu', 'Komiya, Yuzu', 'Shamo', 'Yoshino', 'Amane', 'Gen', 'Shizuka, Gozen', 'Shosoin, Sasana', 'Haruka', 'Gonta']
animeVoices	['Tomatsu, Haruka', 'Horie, Yui', 'Toyosaki, Aki', 'Mako', 'Itou, Kanae', 'Naitou, Ryou', 'Tanaka, Ryouko', 'Kayano, Ai', 'Nanjou, Yoshino', 'Sanpei, Yuuko']
animeStaff	[['Sakurai, Hiroaki', 'Director'], ['Suzuki, Kaoru', 'Episode Director, Storyboard'], ['Tamagawa, Makoto', 'Episode Director, Storyboard'], ['Yokotani, Masahiro', 'Script']]
