animeTitle	b'Kuroko no Basket: Tip Off'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.84
animeUsers	48871
animeRank	
animePopularity	
animeDescription	"b'Episode 22.5 bundled with BD/DVD volume 8.\n\nThe episode covers Kuroko\'s past, when he was part of the ""Generation of Miracles."" '"
animeRelated	[b'Kuroko no Basket']
animeCharacters	[b'Kuroko, Tetsuya', b'Kise, Ryouta', b'Aomine, Daiki', b'Akashi, Seijuurou', b'Midorima, Shintarou', b'Murasakibara, Atsushi', b'Momoi, Satsuki']
animeVoices	[b'\nOno, Kensho\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorihiro, Fumi\n\nProducer\n\n', b'\nKuroki, Rui\n\nProducer\n\n', b'\nHirabayashi, Sawako\n\nScript\n\n', b'\nGRANRODEO\n\nTheme Song Performance, Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition\n\n']
