animeTitle	Ningyou no Yakata
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.57
animeUsers	575
animeRank	
animePopularity	9550
animeDescription	"So was working at the house of a millionaire, Katsuragi during the summer break. Though the house located deep in mountains far from the town, he enjoyed the days with a beautiful lady, her daughter, and charming maids. One day, he found a mysterious dollhouse in the attic. Inside it, there were dolls that looked like people in the house. He found that the doll had a magical power to manipulate the person at his will, and he made the women his sexual slaves one after another not knowing it is the way to lead to the ruin. 

(Source: AnimeNfo) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
