animeTitle	Lupin III 3DCG
animeType	Special
animeNumEpisode	1
releaseDate	2012-03-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	570
animeRank	
animePopularity	9853
animeDescription	Pilot for a hypothetical Lupin 3DCG project included with the 40th anniversary Master File BD/DVD.
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi']
animeVoices	[]
animeStaff	[['Monkey Punch', 'Original Creator']]
