animeTitle	b'Ichigo Mashimaro Encore'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.69
animeUsers	10226
animeRank	
animePopularity	
animeDescription	b'Ichigo Mashimaro encore is a two-episode OVA continues onwards from the previous set of OVAs of Ichigo Mashimaro.'
animeRelated	[b'Ichigo Mashimaro', b'Ichigo Mashimaro OVA']
animeCharacters	[b'Matsuoka, Miu', b'Itou, Nobue', b'Itou, Chika', b'Sakuragi, Matsuri', b'Coppola, Ana', b'Sasazuka']
animeVoices	[b'\nOrikasa, Fumiko\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Takuya\n\nDirector, Series Composition\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nOota, Masahiko\n\nEpisode Director, Key Animation\n\n', b'\nNoto, Mamiko\n\nTheme Song Performance\n\n']
