animeTitle	Ougon Senshi Gold Lightan
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	150
animeRank	
animePopularity	11349
animeDescription	When a young boy called Hiro finds what appears to be a broken lighter in an empty field, it changes his life forever. This lighter is actually the Gold Lightan, a robot that fell to Earth from the Robot Dimension. When called upon to defend the Earth from Ivalda the Great's evil robots, Gold Lightan transforms into a giant super robot, known as the Golden Warrior. Gold Lightan joins forces with Hiro's and his gang, the One Pack Rangers to protect the Earth from the evil schemes of Ivalda the Great and his armored forces.
animeRelated	[]
animeCharacters	['Takakura, Emi', 'Nanjo, Osamu', 'Taikai, Hiroshi', 'Sayokka', 'Narrator', 'King Ibaruda', 'Uyokka', 'Mannakka', 'Kokarashi, Monkichi', 'Gokurako, Tomokazu']
animeVoices	['Shimazu, Saeko', 'Mitsuya, Yuuji', 'Inoue, You', 'Gouri, Daisuke', 'Inaba, Minoru', 'Tatekabe, Kazuya', 'Iizuka, Shouzou', 'Kouda, Naoko', 'Suzuki, Reiko', 'Majima, Satomi']
animeStaff	[['Mashimo, Kouichi', 'Director, Episode Director'], ['Oshii, Mamoru', 'Episode Director'], ['Yuyama, Kunihiko', 'Episode Director'], ['Nishikubo, Mizuho', 'Episode Director, Screenplay']]
