animeTitle	Pinch to Punch
animeType	TV
animeNumEpisode	156
releaseDate	1969-09-29 00:00:00
endDate	1970-03-28 00:00:00
animeNumMembers	315
animeScore	
animeUsers	
animeRank	12771
animePopularity	14423
animeDescription	"A comedy about two goofy twins in the armed forces.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Pinch']
animeVoices	['Chijimatsu, Sachiko']
animeStaff	[['Aoki, Takashi', 'Episode Director, Original Creator'], ['Andou, Toyohiro', 'Script'], ['Wakabayashi, Tadao', 'Animation Director']]
