animeTitle	b'Kuragehime: Soreike! Amars Tankentai'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	3478
animeRank	
animePopularity	
animeDescription	b'The Amars go on an adventure in the forest.'
animeRelated	[b'Kuragehime']
animeCharacters	[b'Kurashita, Tsukimi', b'Mayaya', b'Banba', b'Jiji', b'Chieko']
animeVoices	[b'\nHanazawa, Kana\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nKumai, Motoko\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nSaito, Kimiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHigashimura, Akiko\n\nOriginal Creator\n\n', b'\nFukunaga, Gen\n\nExecutive Producer\n\n', b'\nBevins, Christopher\n\nADR Director\n\n']
