animeTitle	Ningyou Tsukai
animeType	OVA
animeNumEpisode	1
releaseDate	1996-05-21 00:00:00
endDate	
animeNumMembers	1635
animeScore	5.28
animeUsers	448
animeRank	
animePopularity	9974
animeDescription	"Silhouettes are robots controlled by human thoughts, originally created to help mankind. When human thoughts turn lustful, Silhouettes can be very dangerous. Rika and Sandy, two Silhouette scientists, are drawn into the world of sex crime, to uncover the evil men who have perverted their creations and they will become the next victims of the lusty Silhouettes.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
