animeTitle	b'Usagi Drop Specials'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.96
animeUsers	37235
animeRank	
animePopularity	
animeDescription	"b'Four short episodes bundled with DVD/Blu-Ray.\nVol.1: Episode 2.5 ""Aquarium of Leaves""\nVol.2: Episode 3.5 ""Dear My Santa Claus""\nVol.3: Episode 6.5 ""Full Blossom in the Sky""\nVol.4: Episode 8.5 ""Way Home""'"
animeRelated	[b'Usagi Drop']
animeCharacters	[b'Kaga, Rin', b'Kawachi, Daikichi', b'Nitani, Yukari', b'Nitani, Kouki', b'Maeda, Haruko']
animeVoices	[b'\nMatsuura, Ayu\nJapanese\n', b'\nTsuchida, Hiroshi\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nSakai, Noa\nJapanese\n', b'\nUeda, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsushita, Keiko\n\nProducer\n\n', b'\nNakatake, Tetsuya\n\nProducer\n\n', b'\nKishimoto, Taku\n\nScript, Series Composition\n\n', b'\nUnita, Yumi\n\nOriginal Creator\n\n']
