animeTitle	b'Nanatsu-iro\xe2\x98\x85Drops'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	7915
animeRank	
animePopularity	
animeDescription	"b""Tsuwabuki is a normal student, though not very social. One day he meets a new transfer student, named Sumomo Akihime, and another girl, both the only members of the gardening club. Tsuwabuki is forced by a teacher to join this club. But then he bumps into a strange guy with dog ears, switching his drink with they guy's by mistake. Drinking it, he is turned in a stuffed animal. The teacher tells him that the only way to turn back to normal is to find the chosen girl and let her catch the seven stardrops. This girl is Sumomo, that accepts to help him, though she's not allowed to know the animal's true identity. \n\n(Source: ANN)"""
animeRelated	[b'Nanatsuiro\xe2\x98\x85Drops']
animeCharacters	[b'Akihime, Sumomo', b'Tsuwabuki, Masaharu', b'Yuuki, Nona', b'Matsuda, Arthur', b'Koiwai, Flora', b'Yaeno, Nadeshiko', b'Kisaragi, Natsume', b'Akihime, Karin', b'Asamiya, Toua', b'Sakuraba, Keisuke']
animeVoices	[b'\nYuimoto, Michiru\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nMatsuoka, Yuki\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nKurokawa, Nami\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nItou, Miki\nJapanese\n', b'\nMotoi, Emi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Kouhei\n\nProducer\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nYamamoto, Takashi\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n']
