animeTitle	Kubbe Kort Animasjon
animeType	ONA
animeNumEpisode	24
releaseDate	2013-04-24 00:00:00
endDate	2014-03-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15825
animeDescription	"Johnsen Kubbe's picture book adaptation. Each story is split into two videos titled ""prequel"" and ""sequel"" for a total of 24 episodes."
animeRelated	['Kubbe no Ongakukai', 'Kubbe PV Full ver.', 'Kubbe Gachapin Mukku']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
