animeTitle	b'Mai-HiME'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	47209
animeRank	
animePopularity	
animeDescription	"b'Thirteen girls, each with the ability to materialize ""Elements"" and summon metallic guardians called ""Childs"" have been brought to Fuuka Academy to battle mysterious creatures called Orphans. Each with a different personality and background, they must decide who they truly care about and why they fight. '"
animeRelated	[b'Mai-HiME', b'Mai-Otome', b'Mai-HiME Specials', b'Mai-HiME: Kuro no Mai/Saigo no Bansan']
animeCharacters	[b'Kuga, Natsuki', b'Tokiha, Mai', b'Minagi, Mikoto', b'Fujino, Shizuru', b'Yuuki, Nao', b'Okuzaki, Akira', b'Sugiura, Midori', b'Tate, Yuuichi', b'Suzushiro, Haruka', b'Homura, Nagi']
animeVoices	[b'\nChiba, Saeko\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nShindo, Naomi\nJapanese\n', b'\nNanri, Yuuka\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nIshida, Akira\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Tatsuyuki\n\nDirector, Episode Director, Storyboard\n\n', b'\nObara, Masakazu\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nOota, Masahiko\n\nEpisode Director, Storyboard\n\n']
