animeTitle	Sora to Umi no Aida
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-04 00:00:00
endDate	2018-12-20 00:00:00
animeNumMembers	
animeScore	5.67
animeUsers	4413
animeRank	
animePopularity	4074
animeDescription	"In the future in Onomichi, Hiroshima fish disappear from the sea around the world and only whales live in the ocean. The Ministry of Fishery decides to set up giant experimental Universe Fish Tanks in space. The Onomichi Universe Fishery Union is established and begins to train space fishermen. Female fishermen are in demand due to the strengthening of an equal employment law for men and women. Six new female space fishermen are selected, and the story centers on supporting their growth.

(Source: ANN)"
animeRelated	['Sora to Umi no Aida']
animeCharacters	['Maki, Makiko', 'Mitsurugi, Makoto', 'Murakami, Namino', 'Soramachi, Haru', 'Azumi, Ruby', 'Sakura, Maiko', 'Kagiya, Atsushi', 'Kazamatsuri, Jouji', 'Mamiana, Koujirou', 'Mannen, Reiji']
animeVoices	['Komeno, Maori', 'Kousaka, Mio', 'Tachibana, Rika', 'Takahashi, Karin', 'Inoue, Honoka', 'Suzuki, Momoko', 'Tai, Yuuki', 'Sakurai, Takahiro', 'Horiuchi, Kenyuu', 'Takagi, Wataru']
animeStaff	[['Nigorikawa, Atsushi', 'Director'], ['Imaizumi, Yuuichi', 'Sound Director'], ['Yamada, Taku', 'Episode Director'], ['Hisao, Ayumu', 'Script']]
