animeTitle	Gundam Build Fighters Try
animeType	TV
animeNumEpisode	25
releaseDate	2014-10-08 00:00:00
endDate	2015-04-01 00:00:00
animeNumMembers	
animeScore	7.24
animeUsers	21048
animeRank	
animePopularity	2885
animeDescription	"The story of Gundam Build Fighters Try is set 7 years after the end of the 1st series. Now Seiho Academy's Gunpla Battle Club has only one member, Hoshino Fumina, who is a third grade student in junior high. As the president of the club, she needs two more members to participate in the upcoming All-Japan Gunpla Battle Championships. One day she encounters a transfer student named Kamiki Sekai, who has traveled around for Kenpo training with his master. Then joining by a young Gunpla builder Kousaka Yuuma, their challenge to the Gunpla Battle begins....

(Source: Crunchyroll)
"
animeRelated	['Gundam Build Fighters', 'Gundam Build Fighters: GM no Gyakushuu', 'Gundam Build Fighters Try: Island Wars', 'Gundam Build Fighters: Battlogue']
animeCharacters	['Hoshino, Fumina', 'Kamiki, Sekai', 'Kousaka, Yuuma', 'Kasshu, Domon', 'Yuuki, Tatsuya', 'Kijima, Shia', 'Sazaki, Kaoruko', 'Kousaka, China', 'Kamiki, Mirai', 'Ral']
animeVoices	['Makino, Yui', 'Togashi, Kazumi', 'Uchida, Yuuma', 'Satou, Takuya', 'Fujita, Saki', 'Hirohashi, Ryou', 'Ishikawa, Yui', 'Endou, Aya', 'Houki, Katsuhisa']
animeStaff	[['Watada, Shinya', 'Director'], ['Minamikawa, Tatsuma', 'Episode Director'], ['Minami, Yasuhiro', 'Episode Director'], ['Nishizawa, Susumu', 'Storyboard']]
