animeTitle	b'X Densha de Ikou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.76
animeUsers	1165
animeRank	
animePopularity	
animeDescription	b'Ishihara Toru is an everyday guy with an on-and-off girlfriend and a position working for a train buff. Things become complicated when a ghostly vehicle dubbed the X Train begins to ride the rails, destroying everything in its path. Somehow, it seems that Toru is connected with the X Train by a strange power, which draws the attention of some very dangerous and power hungry people who would wield it for their own...\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Nishihara, Toru']
animeVoices	[b'\nMizushima, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRintaro\n\nDirector, Script, Screenplay\n\n', b'\nKanemori, Yoshinori\n\nCharacter Design, Animation Director\n\n', b'\nTakei, Masaki\n\nKey Animation\n\n', b'\nAoki, Katsushi\n\nArt Director\n\n']
