animeTitle	Mukashibanashi Dokkiri Anime
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2019-02-09 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17900
animeDescription	CoroCoro Comic's Yarisugi!!! Itazura-kun, in honor of it's 3rd manga volume going on sale, received web shorts on CoroCoro Comic's official YouTube channel. Itazura-kun loves pranks and thinks about them 24/7. These web shorts are Itazura-kun's re-imagining of classic folktales such as Cinderella and Momotarou.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
