animeTitle	b'Nobunaga Concerto'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	20031
animeRank	
animePopularity	
animeDescription	"b'""Who cares about what happened in Japan\'s past? It has nothing to do with my life.""\n\nWith these words, carefree high school student Saburou finds himself unceremoniously thrown back in time to the Sengoku Era, landing directly in front of the legendary general Nobunaga Oda. Nobunaga, on the run from his retainers and wishing to rest due to his frailty, beseeches Saburou to take his place, as the two bear an uncanny resemblance. Although Saburou is still confused by his surroundings, Nobunaga hurriedly provides the boy with the necessary items to prove that he is the bona fide feudal lord and makes a hasty getaway.\n\nNow a stand-in for someone he doesn\'t even know all that much about\xe2\x80\x94though his modern experiences and knowledge are sure to help him\xe2\x80\x94Saburou begins his unexpected quest to pose as the man who attempted to unite all of Japan.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Nobunaga Concerto']
animeCharacters	[b'Saburou', b'Oda, Nobunaga', b'Kinoshita, Toukichirou', b'Kichou', b'Oichi', b'Narrator', b'Sassa, Narimasa', b'Yasuke', b'Mori, Yoshinari', b'Ikeda, Tsuneoki']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nOguri, Shun\nJapanese\n', b'\nMiyake, Kenta\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nSugisaki, Ryou\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujikawa, Yuusuke\n\nDirector\n\n', b'\nTakahashi, Natsuko\n\nScript, Series Composition\n\n', b'\nMY FIRST STORY\n\nTheme Song Composition, Theme Song Performance, Theme Song Lyrics\n\n', b'\nYokoyama, Masaru\n\nMusic\n\n']
