animeTitle	Soliton no Akuma
animeType	Movie
animeNumEpisode	1
releaseDate	1997-01-01 00:00:00
endDate	
animeNumMembers	860
animeScore	6.01
animeUsers	293
animeRank	8588
animePopularity	11527
animeDescription	In the future, tensions are rising between Japan and China. The jewel of humankind is the new Ocean Techno Polis, a man-made city which floats above the sea. One day, a mysterious catastrophe destroys a Taiwanese submarine followed by the entire city of Ocean Techno Polis. One of the engineers of Ocean Techno Polis, Kurase, must race to rescue his family. Along the way, he must deal with a Japanese navy trying to keep their own secrets under wraps, and discover why Ocean Techno Polis sank to the bottom of the sea.
animeRelated	[]
animeCharacters	['Kurase, Atsushi', 'Tomioka', 'Yamada', 'Nishi', 'Ling, Mei', 'Fujii', 'Kit', 'Hoa, Chu']
animeVoices	['Ootsuka, Akio', 'Sawaki, Ikuya', 'Tobita, Nobuo', 'Matsumoto, Yasunori', 'Yajima, Akiko', 'Tomita, Kousei', 'Furuta, Nobuyuki', 'Doi, Mika']
animeStaff	[['Takeuchi, Yoshio', 'Director, Script'], ['Seyama, Takeshi', 'Editing'], ['Waki, Takeshi', 'Art Director'], ['Motoki, Hisatoshi', 'Animation Director, Character Design']]
