animeTitle	Ikuze! Gen-san
animeType	ONA
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14887
animeDescription	"The slapstick comedy centers on Genzō Tamura, a 19-year-old third-generation construction worker in the working-class neighborhood of Beranme. When the Kuromoku Group urban developers threatens the neighborhood with Chainsaw Mika and Dynamite Dan, Tamura must save his town with his trusty hammer.

Source: ANN"
animeRelated	[]
animeCharacters	['Kirishima, Kanna', 'Tamura, Genzo']
animeVoices	[]
animeStaff	[['Okumura, Yoshiaki', 'Director'], ['Hayase, Hiroyuki', 'Sound Director'], ['Hosokawa, Hideki', 'Episode Director, Storyboard, Mechanical Design'], ['Nakanishi, Nobuaki', 'Storyboard']]
