animeTitle	Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	6233
animeRank	
animePopularity	4827
animeDescription	Professor Agasa is kidnapped and the Detective Boys must use clues found at his house and in various parts of the city in order to find him.
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Haibara, Ai', 'Agasa, Hiroshi', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta', 'Mouri, Ran', 'Mouri, Kogorou', 'Suzuki, Sonoko', 'Satou, Miwako']
animeVoices	['Takayama, Minami', 'Hayashibara, Megumi', 'Ogata, Kenichi', 'Iwai, Yukiko', 'Ootani, Ikue', 'Takagi, Wataru', 'Yamazaki, Wakana', 'Kamiya, Akira', 'Matsui, Naoko']
animeStaff	[['Yamamoto, Yasuichiro', 'Director, Storyboard'], ['Takahashi, Shigeharu', 'Episode Director, Storyboard'], ['Kuraki, Mai', 'Theme Song Performance'], ['Aoyama, Gosho', 'Original Creator']]
