animeTitle	Sengoku Majin Goushougun (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1982-04-24 00:00:00
endDate	
animeNumMembers	611
animeScore	6.0
animeUsers	153
animeRank	8650
animePopularity	12430
animeDescription	Compilation movie composed of scenes from episodes 17 and 20 of the Sengoku Majin Goushougun TV series mixed with some movie-original scenes and faux commercial breaks featuring the characters selling fictional products.
animeRelated	['Sengoku Majin Goushougun']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
