animeTitle	Koko wa Green Wood
animeType	OVA
animeNumEpisode	6
releaseDate	1991-11-22 00:00:00
endDate	1993-03-26 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	2613
animeRank	
animePopularity	5665
animeDescription	"Hasukawa Kazuya is in a terrible bind. His brother's new wife is also the woman that Kazuya secretly loves. Determined to avoid them both, Kazuya leaves home to live in the student dorm called Greenwood. There, he hopes to find peace of mind. Unfortunately for Kazuya, stability and peace are the last things one might find at Greenwood - home of the weirdest characters on campus.

(Source: ANN)"
animeRelated	['Koko wa Green Wood']
animeCharacters	['Kisaragi, Shun', 'Tezuka, Shinobu', 'Ikeda, Mitsuru', 'Hasukawa, Kazuya', 'Kisaragi, Reina', 'Hasukawa, Kazuhiro', 'Yuko', 'Tezuka, Nagisa', 'Furusawa, Shinichiro', 'Hasukawa, Sumire']
animeVoices	['Sakamoto, Chika', 'Seki, Toshihiko', 'Iwata, Mitsuo', 'Sasaki, Nozomu', 'Kawata, Taeko', 'Inoue, Kazuhiko', 'Hisakawa, Aya', 'Tsuru, Hiromi', 'Horiuchi, Kenyuu', 'Shimamoto, Sumi']
animeStaff	[['Mochizuki, Tomomi', 'Director, Script'], ['Sakamoto, Chika', 'Theme Song Performance'], ['Sakamoto, Hiroshi', 'Theme Song Arrangement, Theme Song Composition, Inserted Song Performance'], ['Nagata, Shigeru', 'Music']]
