animeTitle	Sukeban Deka
animeType	OVA
animeNumEpisode	2
releaseDate	1991-04-21 00:00:00
endDate	1991-07-21 00:00:00
animeNumMembers	5312
animeScore	6.45
animeUsers	1693
animeRank	6389
animePopularity	6828
animeDescription	"Having spent time at a juvenile corrections facility, teenage delinquent Saki Asamiya is given a chance to redeem herself and delay her mother's possible death sentence by working as an undercover cop. Armed with nothing but a special yo-yo, Saki's assignment is to return to her high school and investigate on the corruption and mysterious deaths among the students. But in order to find the answers to the condition of her school, she must confront the wealthy and powerful Mizuchi sisters, who moved in and have taken control after her previous expulsion. 

(Source: ANN)"
animeRelated	['Sukeban Deka']
animeCharacters	['Asamiya, Saki', 'Mizuchi, Ayumi', 'Mizuchi, Remi', 'Mizuchi, Gouzou', 'Inspector Kurayami', 'Nowaki, Sanpei', 'Mizuchi, Emi', 'Numa, Yuujou', 'Jin, Kyouichirou']
animeVoices	['Ikura, Kazue', 'Takano, Urara', 'Katsuki, Masako', 'Nishimura, Tomomichi', 'Utsumi, Kenji', 'Takemura, Hiroshi', 'Shimazu, Saeko', 'Ootsuka, Akio', 'Kamiya, Akira']
animeStaff	[['Hirose, Kazuyoshi', 'Producer'], ['Nanba, Hitoshi', 'Director, Animation Director'], ['Yamada, Etsuji', 'Sound Director'], ['Okiura, Hiroyuki', 'Key Animation']]
