animeTitle	Tenchi Muyou! Ryououki 5th Season
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	561
animeRank	
animePopularity	8200
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Tenchi Muyou! Ryououki 4th Season']
animeCharacters	['Hakubi, Ryouko', 'Masaki, Kenshi', 'Hakubi, Washuu', 'Masaki, Tenchi', 'Masaki, Sasami Jurai', 'Masaki, Aeka Jurai', 'Kuramitsu, Mihoshi', 'Kamiki Jurai, Noike', 'Ryou-Ouki', 'Yamada, Seina']
animeVoices	['Orikasa, Ai', 'Morishita, Yukiko', 'Kobayashi, Yuko', 'Kikuchi, Masami', 'Yokoyama, Chisa', 'Nanao, Haruhi', 'Tomizawa, Michie', 'Shindo, Naomi', 'Kozakura, Etsuko']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Kajishima, Masaki', 'Director, Original Character Design, Original Creator'], ['Honda, Yasunori', 'Sound Director'], ['Shirane, Hideki', 'Script, Series Composition']]
