animeTitle	Zhi Duoduo Zhi Duoduo
animeType	TV
animeNumEpisode	15
releaseDate	2000-01-01 00:00:00
endDate	
animeNumMembers	206
animeScore	
animeUsers	
animeRank	14619
animePopularity	15940
animeDescription	Chi Dor Dor is a squirrel boy, and another Chi Dor Dor, is a rabbit detective who always follows Chi Dor Dor to ensure him doing everything right. This series is used to spread the idea of anti-corruption to the kids.
animeRelated	['Zhi Duoduo Qihuan Xingkong Zhi Lu', 'Shen Tan Zhi Duoduo: Shi Da Qi An', 'Zhi Duoduo Zhi Xiang Gang Shi Wo Jia', 'Zhi Duoduo Zhi Jie Ri Jia Nian Hua']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
