animeTitle	Oban Star-Racers
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	21839
animeRank	
animePopularity	2640
animeDescription	"Eva's birthday has just passed, and she hasn't heard from her father. Despising the Boarding School she attends, she escapes using her Rocket Bike that she just completed. Taking on the alias ""Molly,"" Eva sneaks with the Earth team to Alwas for the Great Race because the winner of the race gets any one wish granted. Little does the Earth Team know what danger awaits them..."
animeRelated	['Molly Star-Racer']
animeCharacters	['Wei, Eva', 'Aikka', 'Wilde, Jordan', 'Thunderbolt, Rick', 'Wei, Don', 'Wei, Maya', 'Spirit', 'Koji', 'Paradise', 'Sul']
animeVoices	['Noda, Junko', 'Miura, Hiroaki', 'Satomi, Keiichirou', 'Suwabe, Junichi', 'Ishizuka, Unshou', 'Kobashi, Tomoko', 'Fujita, Yoshinori', 'Shiratori, Yuri', 'Fujiwara, Keiji']
animeStaff	[['Romain, Thomas', 'Co-Director'], ['Yeatman-Eiffel, Savin', 'Producer, Director, Creator'], ['Sayama, Kiyoko', 'Episode Director, Storyboard'], ['Osedo, Satoshi', 'Episode Director']]
