animeTitle	b'Bakukyuu Renpatsu!! Super B-Daman'
animeType	b'TV'
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	400
animeRank	
animePopularity	
animeDescription	"b""Tamago Tosaka is a fifth-grader who loves nothing more than a B-Daman battle. One day, Ganma Nishibe, a talented bead-warrior, is transferred to Tamago's school. Their B-Daman battles set the stage for this story. Beginning as rivals, the two come together to prepare for the B-Daman championships. The two boys come to trust and help one another as they work toward their shared goal.\n\n(Source: d-rights)"""
animeRelated	[b'Bakukyuu Renpatsu!! Super B-Daman', b'Bakukyuu Renpatsu! Super B-Daman Specials']
animeCharacters	[b'Nishibe, Gunma', b'Negota, Nekomaru', b'Kazama, Yoshinori', b'Sarah', b'Tosaka, Tamago', b'Katayama']
animeVoices	[b'\nShibahara, Chiyako\nJapanese\n', b'\nWatanabe, Kumiko\nJapanese\n', b'\nKisaichi, Atsushi\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nTakimoto, Fujiko\nJapanese\n', b'\nKouchi, Mayuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Cheru\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n', b'\nMatsumoto, Toshiaki\n\nTheme Song Composition\n\n', b'\nIkegami, Tarou\n\nCharacter Design\n\n']
