animeTitle	Gorillaman
animeType	OVA
animeNumEpisode	2
releaseDate	1992-06-25 00:00:00
endDate	1993-12-24 00:00:00
animeNumMembers	
animeScore	6.09
animeUsers	159
animeRank	
animePopularity	12343
animeDescription	"A school comedy about a mute transfer student, Tadashi  Iketo, who is constant­ly shuffled from school to school for his  ""violent nature,"" though he really is a mild-mannered boy constantly taunt­ed into fights over his simian appearance. 

Based on a 1989 manga in  Young Magazine by Harold Sakuishi. 

(Source: The Anime Encyclopedia)"
animeRelated	['Gorilla-Man']
animeCharacters	"['Nakajima', 'Ikedo, Sadaharu', ""Fujimoto's Mother"", 'Nimura', 'Vice-Principal', 'Tsuruta, Seisuke', 'Kitamura, Kaori', 'Fujimoto, Shuuji']"
animeVoices	['Fujiwara, Keiji', 'Gouri, Daisuke', 'Takizawa, Kumiko', 'Morikawa, Toshiyuki', 'Naka, Hiroshi', 'Anzai, Masahiro', 'Yokoyama, Chisa', 'Nakata, Kazuhiro']
animeStaff	[['Tanaka, Hideyuki', 'Sound Director'], ['Sakuishi, Harold', 'Original Creator'], ['Kajitani, Mitsuharu', 'Character Design'], ['Jizoumoto, Takuji', 'Art Director']]
