animeTitle	Een
animeType	ONA
animeNumEpisode	1
releaseDate	2018-02-12 00:00:00
endDate	
animeNumMembers	
animeScore	4.89
animeUsers	368
animeRank	
animePopularity	12381
animeDescription	"Synchronized the irritation of the baby’s cries and the frustration I have ever experienced. Everyone was born while crying and grew crying. I grew up to be an adult, but I strongly want to be a baby again. 

Short film by Sawako Kabuki."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
