animeTitle	Marumaru Manul
animeType	TV
animeNumEpisode	50
releaseDate	2020-01-06 00:00:00
endDate	2020-12-15 00:00:00
animeNumMembers	532
animeScore	
animeUsers	
animeRank	17216
animePopularity	12816
animeDescription	"The comedy story follows the daily life of a somewhat flippant Pallas's cat or manul named Manul-kun, an orange tabby cat named Chatora-kun, Sukofu-kun, and other cats. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
