animeTitle	Ponkotsuland Saga
animeType	ONA
animeNumEpisode	3
releaseDate	2015-10-24 00:00:00
endDate	2019-10-01 00:00:00
animeNumMembers	
animeScore	4.55
animeUsers	319
animeRank	
animePopularity	10286
animeDescription	Ponkotsuland Saga is a collaboration between Ponkotsu Quest and Vinland Saga.
animeRelated	['Ponkotsu Quest: Maou to Haken no Mamono-tachi', 'Ponkotsu Quest x Gatchaman Special', 'NoisyCell x Ponkotsu Quest', 'Vinland Saga']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
