animeTitle	b'Chou Kuse ni Narisou'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	201
animeRank	
animePopularity	
animeDescription	"b'Shiratori Nagisa is a pink haired singing idol, continually badgered by her father to find new disciples for the family dojo. In an attempt to gain free-time as a normal kid, she cuts her hair and cross-dresses as a high-school boy. ""Ootori Nagisa"" enrolls in a run-down school, falling in love with a rival school\'s gang leader, Nosaka Akira. She soon finds out Nosaka-kun is a fan of Nagisa - The Idol. Keeping up the charade, they manage to sneak time together. Rivals for Nagisa\'s affection, BOTH their dojo-running fathers, as well as martial artist animals and an up-in-coming Idol conspire to make thier lives a complicated as possible.\n\n(Source: ANN)'"
animeRelated	[b'Chou Kuse ni Narisou']
animeCharacters	[b'Nosaka, Akira', b'Shiratori, Nagisa', b'Priscilla, Momoko', b'Tsunoda', b'Henchman #2', b'Okuno, Hosomichi', b'Henchman #1', b'Nakatake, Makoto', b'Cheerleader #1', b'Kamioka, Ryuu']
animeVoices	[b'\nCanna, Nobutoshi\nJapanese\n', b'\nNishimura, Chinami\nJapanese\n', b'\nHonda, Chieko\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nSuyama, Akio\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nSuzuki, Takuma\nJapanese\n', b'\nTsujitani, Kouji\nJapanese\n', b'\nNakazawa, Yayoi\nJapanese\n', b'\nIshida, Akira\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEndou, Tetsuya\n\nDirector\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nIwasaki, Yoshiaki\n\nEpisode Director, Storyboard\n\n', b'\nShudou, Takeshi\n\nScript, Series Composition, Screenplay\n\n']
