animeTitle	Fuku-chan no Kishuu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13937
animeDescription	The first film of the Fuku-chan trilogy. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use.
animeRelated	['Fuku-chan no Sensuikan', 'Fuku-chan no Zousan Butai', 'Fuku-chan']
animeCharacters	['Fuchida, Fukuo']
animeVoices	[]
animeStaff	[['Masaoka, Kenzou', 'Director, Director of Photography'], ['Yokoyama, Ryuuichi', 'Original Creator'], ['Kumakawa, Masao', 'In-Between Animation']]
