animeTitle	D-1 Devastator
animeType	OVA
animeNumEpisode	2
releaseDate	1992-12-11 00:00:00
endDate	1993-02-26 00:00:00
animeNumMembers	
animeScore	5.57
animeUsers	183
animeRank	
animePopularity	11617
animeDescription	"To follow in his missing friend Masato's footsteps, Ryo joined the vehicle company Yaesu. Ryo became involved with the Makuhari test course that Masato was also a part of. The leader, Gray Gear, told Ryo, ""If you want to know about Masato, come to the test course late at night and ride the new machine.""

When Ryo got in the new machine, the Vector Versus, and rode it around the course, he was able to exceed 300 kilometers per hour and suddenly warped into a mysterious space!"
animeRelated	[]
animeCharacters	['Shindou, Kaoru']
animeVoices	['Touma, Yumi']
animeStaff	[['Nishimura, Junji', 'Director'], ['Sogo, Masashi', 'Script'], ['Oobari, Masami', 'Animation Director, Mechanical Design'], ['Miyamae, Mitsuharu', 'Art Director']]
