animeTitle	Amon Saga
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	2037
animeRank	
animePopularity	7057
animeDescription	"Set in a world of fantasy and adventure, Amon is a young warrior embarking on a quest to avenge the death of his mother. When the hunt leads him ultimately to the kingdom of Valhiss, Amon enlists in the ranks of the Emperor's army in order to gain an opportunity to exact his revenge. However, a chance encounter with the Princess Lichia, being held captive by the Emperor in an effort to ransom a map away from his main rival, King Darai-Sem, Amon must decide whether to follow his path of revenge or to help rescue the Princess in an effort to save a lost kingdom.

(Source: ANN)"
animeRelated	['Amon Saga']
animeCharacters	['Amon', 'Lichia', 'Vikin', 'Ekuna', 'Mabo', 'Valhiss', 'Denon']
animeVoices	['Horiuchi, Kenyuu', 'Takamori, Yoshino', 'Tatsuta, Naoki', 'Ginga, Banjou', 'Nagai, Ichiro', 'Kobayashi, Kiyoshi', 'Wakamoto, Norio']
animeStaff	[['Ooga, Shunji', 'Director'], ['Sugimoto, Yuuri', 'Theme Song Performance'], ['Amano, Yoshitaka', 'Original Character Design, Original Creator'], ['Araki, Shingo', 'Animation Check, Character Design']]
